step,speed,heading,position_x,position_y,steering,throttle,brake,lane_index
0,0.02603091485896875,0.0,5.000459671020508,3.5,9.190956134580754e-05,0,0,"('>', '>>', 1)"
1,0.04148082807661091,-5.326322183307752e-07,5.003663063049316,3.5,9.273923956566798e-06,0,0,"('>', '>>', 1)"
2,0.01966265402839703,-9.321063814127228e-07,5.0079569816589355,3.5,5.9603355974005256e-05,0,0,"('>', '>>', 1)"
3,0.016700983047518814,-9.321063814127228e-07,5.009196758270264,3.5,1.2425057294310127e-05,0,0,"('>', '>>', 1)"
4,0.01199726947231912,-1.065264435773372e-06,5.008361339569092,3.5,3.89001568322057e-05,0.1,0,"('>', '>>', 1)"
5,0.06939377639927771,-1.065264435773372e-06,5.010823726654053,3.5,9.091591849750445e-05,0.2,0,"('>', '>>', 1)"
6,0.1554885209044318,-9.321063814127228e-07,5.019599914550781,3.5,5.725110496151504e-05,0.30000000000000004,0,"('>', '>>', 1)"
7,0.27028146389785646,-1.3315805453828489e-06,5.037559986114502,3.5,4.119858364925577e-05,0.4,0,"('>', '>>', 1)"
8,0.41377249365624813,-1.3315805453828489e-06,5.067572116851807,3.5,4.479741852819784e-05,0.5,0,"('>', '>>', 1)"
9,0.5859619975103797,-1.464738599743498e-06,5.1125078201293945,3.500000476837158,1.8746630451512592e-06,0.6,0,"('>', '>>', 1)"
10,0.7868499163810353,-6.657902726914244e-07,5.175236701965332,3.5000014305114746,9.733668895411556e-05,0.7,0,"('>', '>>', 1)"
11,1.0164362196609549,9.321063814127228e-07,5.258628845214844,3.5000038146972656,6.859648225391517e-05,0.7999999999999999,0,"('>', '>>', 1)"
12,1.2747198351781577,2.6631610898775193e-06,5.36555290222168,3.500007152557373,8.634977551178676e-05,0.8999999999999999,0,"('>', '>>', 1)"
13,1.5617018940066645,4.660531907951793e-06,5.498879432678223,3.5000109672546387,1.6347948599154838e-05,0.9999999999999999,0,"('>', '>>', 1)"
14,1.848683953438554,5.725796343725165e-06,5.660789489746094,3.5000133514404297,1.771556981225072e-05,1.0,0,"('>', '>>', 1)"
15,2.1356670860569937,7.0573768891080135e-06,5.851397514343262,3.500016212463379,3.497361168485382e-05,1.0,0,"('>', '>>', 1)"
16,2.4226515311326016,1.025317019642813e-05,6.070703983306885,3.5000221729278564,8.178346416810667e-05,1.0,0,"('>', '>>', 1)"
17,2.709635974788702,1.384843766860655e-05,6.318708896636963,3.5000314712524414,5.1265488340795364e-05,1.0,0,"('>', '>>', 1)"
18,2.9966204173845394,1.637844070412342e-05,6.595412254333496,3.500040054321289,4.981186725394449e-06,1.0,0,"('>', '>>', 1)"
19,3.2836048628736414,1.8109495412588217e-05,6.900814056396484,3.5000486373901367,6.232749634729443e-05,1.0,0,"('>', '>>', 1)"
20,3.570589305281546,2.0639498448105087e-05,7.234914302825928,3.5000600814819336,6.72437699738897e-06,1.0,0,"('>', '>>', 1)"
21,3.857573749141916,2.2104237047848585e-05,7.597712993621826,3.500070095062256,1.5127856460742805e-05,1.0,0,"('>', '>>', 1)"
22,4.144555570037325,2.2503711210930533e-05,7.98921012878418,3.5000808238983154,4.826650425984713e-06,1.0,0,"('>', '>>', 1)"
23,4.431535246639261,2.3036343429261308e-05,8.409405708312988,3.5000929832458496,3.228032329737912e-05,1.0,0,"('>', '>>', 1)"
24,4.71851492635679,2.79631914459344e-05,8.858298301696777,3.5001111030578613,7.689901514895877e-05,1.0,0,"('>', '>>', 1)"
25,5.005494605459208,3.528688444376371e-05,9.335888862609863,3.500138282775879,7.694792756848852e-05,1.0,0,"('>', '>>', 1)"
26,5.292474279070188,4.327636771428445e-05,9.842178344726562,3.5001699924468994,3.069178987506916e-05,1.0,0,"('>', '>>', 1)"
27,5.5794539523176345,4.727110934865664e-05,10.377165794372559,3.500199794769287,2.446436435517685e-06,1.0,0,"('>>', '>>>', 1)"
28,5.8664336330767854,4.953479627545221e-05,10.940851211547852,3.5002312660217285,4.827017351066802e-05,1.0,0,"('>>', '>>>', 1)"
29,6.153413308486652,5.406217012904335e-05,11.533233642578125,3.5002691745758057,2.1630993005152255e-05,1.0,0,"('>>', '>>>', 1)"
30,6.4403929971132445,6.0320598690211114e-05,12.154314041137695,3.500314235687256,8.658083513861362e-05,1.0,0,"('>>', '>>>', 1)"
31,6.727372683498359,7.310377192304429e-05,12.804092407226562,3.5003747940063477,8.414556168488415e-05,1.0,0,"('>>', '>>>', 1)"
32,7.014352349645752,8.309062601075112e-05,13.482569694519043,3.500441312789917,1.4163159065941345e-06,1.0,0,"('>>', '>>>', 1)"
33,7.301332026382896,8.641957737332007e-05,14.18974494934082,3.500504970550537,8.494521509762443e-06,1.0,0,"('>>', '>>>', 1)"
34,7.5883117110547085,8.921589651755824e-05,14.925617218017578,3.5005738735198975,3.566281288297564e-05,1.0,0,"('>>', '>>>', 1)"
35,7.875291415267446,9.760485395116092e-05,15.690187454223633,3.5006582736968994,9.764123811529844e-05,1.0,0,"('>>', '>>>', 1)"
36,8.162271564282996,0.00011145329161976747,16.483455657958984,3.5007588863372803,2.6087168846291342e-05,1.0,0,"('>>', '>>>', 1)"
37,8.449251267637672,0.00012197277792580508,17.305421829223633,3.5008676052093506,7.569601157124737e-05,1.0,0,"('>>', '>>>', 1)"
38,8.736230982491652,0.00013848437668428915,18.156085968017578,3.5009989738464355,9.890373311033364e-05,1.0,0,"('>>', '>>>', 1)"
39,9.023210653600222,0.00015566176571546464,19.035449981689453,3.501147985458374,2.3832394871805184e-05,1.0,0,"('>>', '>>>', 1)"
40,9.310190344887587,0.0001651159875848407,19.943510055541992,3.501302719116211,3.014258019825389e-05,1.0,0,"('>>', '>>>', 1)"
41,9.597170054722378,0.00017470336750946558,20.880268096923828,3.501471519470215,5.437953811964915e-05,1.0,0,"('>>', '>>>', 1)"
42,9.884149788788845,0.00018975022766820615,21.84572410583496,3.501664161682129,8.55431491778321e-05,1.0,0,"('>>', '>>>', 1)"
43,10.171129504354859,0.0002097239358436198,22.83987808227539,3.5018839836120605,6.327913098060618e-05,1.0,0,"('>>', '>>>', 1)"
44,10.458109253256755,0.00022969764401992165,23.86273193359375,3.502129077911377,8.456002648749894e-05,1.0,0,"('>>', '>>>', 1)"
45,10.745088948160245,0.00024833977164995247,24.914281845092773,3.5023999214172363,3.229601797380188e-05,1.0,0,"('>>', '>>>', 1)"
46,11.032068686294414,0.000262188209318559,25.994529724121094,3.5026886463165283,5.3817222166850865e-05,1.0,0,"('>>', '>>>', 1)"
47,11.319048389086712,0.00027510454060486467,27.10347557067871,3.5029995441436768,2.5690779691266706e-05,1.0,0,"('>>', '>>>', 1)"
48,11.606028122803002,0.0002854908688565416,28.241119384765625,3.503328323364258,4.023182560612637e-05,1.0,0,"('>>', '>>>', 1)"
49,11.893007826278197,0.0002958771971073304,29.40746307373047,3.5036771297454834,1.9405546826388544e-05,1.0,0,"('>>', '>>>', 1)"
50,12.179987588121396,0.0003058640511959254,30.602502822875977,3.5040462017059326,5.137474013915816e-05,1.0,0,"('>>', '>>>', 1)"
51,12.466967365995094,0.00032197617579043936,31.82624053955078,3.5044469833374023,6.309187070006491e-05,1.0,0,"('>>', '>>>', 1)"
52,12.753947092207497,0.0003400856712030276,33.07868194580078,3.504877805709839,2.9237574247009212e-05,1.0,0,"('>>', '>>>', 1)"
53,13.040926879709401,0.0003539341088716341,34.35980987548828,3.5053343772888184,5.2602760277052416e-05,1.0,0,"('>>', '>>>', 1)"
54,13.327906690190996,0.00037230992039294364,35.66964340209961,3.5058276653289795,6.393854810060675e-05,1.0,0,"('>>', '>>>', 1)"
55,13.614886496133819,0.0003937483671681008,37.008174896240234,3.5063602924346924,5.7231878248655056e-05,1.0,0,"('>>', '>>>', 1)"
56,13.90186620898797,0.00041052628203530617,38.37540054321289,3.5069241523742676,1.068500105538669e-05,1.0,0,"('>>', '>>>', 1)"
57,14.188846057501467,0.0004226436649954479,39.771331787109375,3.507514476776123,5.7217903678462476e-05,1.0,0,"('>>', '>>>', 1)"
58,14.47582581406021,0.0004388889476452107,41.19594955444336,3.5081424713134766,2.6161353309666048e-05,1.0,0,"('>>', '>>>', 1)"
59,14.757729035554412,0.004385826841197371,42.64906311035156,3.5158965587615967,0.04006910844111506,1.0,0,"('>>', '>>>', 1)"
60,14.969364797076938,0.020967466736356855,44.12811279296875,3.5511248111724854,0.08013002521372976,0.8,0,"('>>', '>>>', 1)"
61,15.100254127042032,0.05170394098334352,45.62473678588867,3.633971691131592,0.12020516161002362,0.6000000000000001,0,"('>>', '>>>', 1)"
62,15.155794107248775,0.09484009326573783,47.12802505493164,3.7826497554779053,0.16028020439386817,0.4000000000000001,0,"('>>', '>>>', 1)"
63,14.334978020091757,0.13422784631384665,48.61022186279297,3.9809160232543945,9.954172791132036e-05,0,0.5,"('>>', '>>>', 1)"
64,13.051219481646768,0.15484071315106007,50.001953125,4.168702125549316,2.8141381752548434e-06,0,1.0,"('>>', '>>>', 1)"
65,11.821361869907195,0.1746266684698039,51.26983642578125,4.348887920379639,4.499422594899262e-05,0,1.0,"('>>>', '1S0_0_', 1)"
66,10.567126251732686,0.19512235621905383,52.413230895996094,4.526827812194824,6.338947799567818e-06,0,1.0,"('>>>', '1S0_0_', 1)"
67,10.579455665745677,0.21540339318444346,53.45912170410156,4.71095085144043,1.831908618097362e-05,0.1,0,"('>>>', '1S0_0_', 1)"
68,10.634259149557373,0.22522579707492785,54.495697021484375,4.928225040435791,6.409269176258483e-05,0.2,0,"('>>>', '1S0_0_', 1)"
69,10.62271381216628,0.2216021669377115,55.53397750854492,5.155290126800537,-0.2499174013085357,0.30000000000000004,0,"('>>>', '1S0_0_', 1)"
70,10.625155172206195,0.195147656249409,56.57923126220703,5.344267845153809,-0.28983115069779414,0.4,0,"('>>>', '1S0_0_', 0)"
71,10.641299702704861,0.15037046410330746,57.6334228515625,5.477992534637451,-0.3297865527614339,0.5,0,"('>>>', '1S0_0_', 0)"
72,10.670498467273916,0.09205123097220724,58.695796966552734,5.544731140136719,-0.3697547637567336,0.6,0,"('>>>', '1S0_0_', 0)"
73,10.883658063605997,0.033977408135557496,59.76791763305664,5.554072380065918,-0.119729157567257,0.7,0,"('>>>', '1S0_0_', 0)"
74,11.104097958636391,-7.962851659293335e-05,60.86041259765625,5.5446577072143555,9.466501335188461e-05,0.7999999999999999,0,"('>>>', '1S0_0_', 0)"
75,11.362358027101193,-0.009277920605617496,61.976078033447266,5.537363052368164,7.816724840729523e-05,0.8999999999999999,0,"('>>>', '1S0_0_', 0)"
76,11.649303149552999,-0.01144253793963479,63.11811828613281,5.526875019073486,4.068695538009571e-05,0.9999999999999999,0,"('>>>', '1S0_0_', 0)"
77,11.936276510201518,-0.011914183768687359,64.28871154785156,5.513901233673096,7.90385086544126e-05,1.0,0,"('>>>', '1S0_0_', 0)"
78,12.223258855302232,-0.011995676498044006,65.48799133300781,5.499716758728027,4.1766947076635255e-05,1.0,0,"('>>>', '1S0_0_', 0)"
79,12.510238407167353,-0.011996075972207088,66.71597290039062,5.484974384307861,8.550893748641105e-05,1.0,0,"('>>>', '1S0_0_', 0)"
80,12.797218936759235,-0.011972373838506023,67.97264099121094,5.469888210296631,9.748359483460288e-05,1.0,0,"('>>>', '1S0_0_', 0)"
81,13.079757709433359,-0.00845593593516547,69.2579116821289,5.460787773132324,0.04013881036255345,1.0,0,"('>>>', '1S0_0_', 0)"
82,13.366482082807844,-0.0005115932454042849,70.57162475585938,5.462893962860107,5.0184158146650295e-05,1.0,0,"('>>>', '1S0_0_', 0)"
83,13.65346409548866,0.001665674103789705,71.91400909423828,5.464603424072266,5.141660590321532e-05,1.0,0,"('>>>', '1S0_0_', 0)"
84,13.935707857905749,0.005913282884412396,73.2848892211914,5.473869800567627,0.0400951779816198,1.0,0,"('>>>', '1S0_0_', 0)"
85,14.207221945740976,0.02190010575010337,74.68316650390625,5.509647369384766,0.08011218396437382,1.0,0,"('>>>', '1S0_0_', 0)"
86,14.491731158429609,0.04146302132755242,76.10814666748047,5.572173595428467,7.767291647003048e-05,1.0,0,"('>>>', '1S0_0_', 0)"
87,14.778713814511825,0.046730753963728944,77.56159210205078,5.637664318084717,3.851805721956743e-05,1.0,0,"('>>>', '1S0_0_', 0)"
88,15.065689383662376,0.04796592807730793,79.04356384277344,5.707509994506836,4.60363406982482e-05,1.0,0,"('>>>', '1S0_0_', 0)"
89,15.352679146629601,0.04825408210725435,80.55414581298828,5.780009746551514,4.0320811587879726e-05,1.0,0,"('>>>', '1S0_0_', 0)"
90,15.452096552134176,0.04260245479994307,82.08921813964844,5.843739032745361,-0.24994658664725136,1.0,0,"('>>>', '1S0_0_', 0)"
91,15.50474970003728,0.01571105253481342,83.63507080078125,5.861949443817139,-0.2899005886735849,0.8,0,"('>>>', '1S0_0_', 0)"
92,15.507244750970713,-0.02626875520226868,85.1845932006836,5.816188335418701,-0.32985382522807744,0.6000000000000001,0,"('>>>', '1S0_0_', 0)"
93,15.456561119817916,-0.07673219574985346,86.72923278808594,5.695157051086426,-0.3698019373092706,0.4000000000000001,0,"('>>>', '1S0_0_', 0)"
94,15.35903800697548,-0.1318736119102164,88.25972747802734,5.496047019958496,-0.40979018582319365,0.20000000000000007,0,"('>>>', '1S0_0_', 0)"
95,14.816666578012537,-0.18806777564948796,89.75713348388672,5.221096515655518,-0.44976043497746926,0,0.5,"('>>>', '1S0_0_', 1)"
96,13.93463396668411,-0.24649846207220794,91.18010711669922,4.886151313781738,-0.19966870111726262,0,1.0,"('>>>', '1S0_0_', 1)"
97,12.797146976796231,-0.30186265165775694,92.50568389892578,4.53249979019165,0.050404002600427496,0,1.0,"('>>>', '1S0_0_', 1)"
98,11.59628324269004,-0.3386496947433475,93.72235870361328,4.222454071044922,0.09041143332372274,0,1.0,"('>>>', '1S0_0_', 1)"
99,10.397075926310793,-0.3673039764920558,94.8231430053711,3.942899465560913,0.13041654910284334,0,1.0,"('>>>', '1S0_0_', 1)"
100,9.181097281615902,-0.3893534855793117,95.80657958984375,3.6899213790893555,0.17051272144565574,0,1.0,"('>>>', '1S0_0_', 1)"
101,7.950447271434893,-0.4039918168270411,96.67144775390625,3.465519428253174,0.21061214964589292,0,1.0,"('>>>', '1S0_0_', 1)"
102,6.708094718968514,-0.41047741302971197,97.41726684570312,3.273237466812134,0.2506806216655969,0,1.0,"('>>>', '1S0_0_', 1)"
103,5.445576007525635,-0.4089752570168521,98.04341888427734,3.1160659790039062,0.2907356626436672,0,1.0,"('>>>', '1S0_0_', 1)"
104,4.157487136054747,-0.4004355646654041,98.54790496826172,2.995060443878174,0.3307683150039202,0,1.0,"('>>>', '1S0_0_', 1)"
105,2.8467486757226186,-0.3870125669811326,98.92780303955078,2.9090805053710938,0.3708236924526979,0,1.0,"('>>>', '1S0_0_', 1)"
106,1.524978707731503,-0.3723004661712075,99.18016815185547,2.8546712398529053,0.41087921642342434,0,1.0,"('>>>', '1S0_0_', 1)"
107,0.22000996475088674,-0.3609641883590671,99.30300903320312,2.8263332843780518,0.4508942226723809,0,1.0,"('>>>', '1S0_0_', 1)"
108,0.05358219581892017,-0.3565416098948271,99.31344604492188,2.8169193267822266,0.49099313011134044,0,0.5,"('>>>', '1S0_0_', 1)"
109,0.03839030245014718,-0.35579392741878735,99.30901336669922,2.812472105026245,0.24106970591347385,0.1,0,"('>>>', '1S0_0_', 1)"
110,0.09001049511025828,-0.355128003988213,99.31270599365234,2.80937123298645,5.3263889670294164e-06,0.2,0,"('>>>', '1S0_0_', 1)"
111,0.1761352164739344,-0.3549527679884861,99.32294464111328,2.8058178424835205,0.0400402363637649,0.30000000000000004,0,"('>>>', '1S0_0_', 1)"
112,0.2908048822895297,-0.3546951071530211,99.34196472167969,2.7995553016662598,0.08013702237769958,0.4,0,"('>>>', '1S0_0_', 1)"
113,0.4338787001979896,-0.3540006878987825,99.3724594116211,2.7896780967712402,0.12016479763285359,0.5,0,"('>>>', '1S0_0_', 1)"
114,0.6051332871388675,-0.35248934398016285,99.41726684570312,2.775740623474121,0.16022975642403087,0.6,0,"('>>>', '1S0_0_', 1)"
115,0.8043252551402935,-0.34971246591153715,99.4792709350586,2.757603168487549,0.20027823575317677,0.7,0,"('>>>', '1S0_0_', 1)"
116,1.031136474173053,-0.34514141621652517,99.56136322021484,2.735307216644287,0.24028168308184217,0.7999999999999999,0,"('>>>', '1S0_0_', 1)"
117,1.2851251059419428,-0.33816220310580913,99.66643524169922,2.7091453075408936,0.28035914308948134,0.8999999999999999,0,"('>>>', '1S0_0_', 1)"
118,1.565722888861538,-0.328064694674719,99.7973861694336,2.6798155307769775,0.3204456136982588,0.9999999999999999,0,"('>>>', '1S0_0_', 1)"
119,1.8438846354339777,-0.31408882474814703,99.9564437866211,2.6486899852752686,0.3604987216650363,1.0,0,"('>>>', '1S0_0_', 1)"
120,2.119111415063738,-0.2956051552024519,100.1437759399414,2.6180741786956787,0.4005405234722386,1.0,0,"('>>>', '1S0_0_', 1)"
121,2.3907263694355323,-0.27201926848232816,100.35929870605469,2.590749979019165,0.4405962006449839,1.0,0,"('>>>', '1S0_0_', 1)"
122,2.65794175950997,-0.24275112810235733,100.60272216796875,2.570045232772827,0.48063553047902235,1.0,0,"('>>>', '1S0_0_', 1)"
123,2.919847384822933,-0.207253720774637,100.8734130859375,2.559879779815674,0.5206412286569685,1.0,0,"('>>>', '1S0_0_', 1)"
124,3.1753393927279143,-0.16501292325072647,101.17027282714844,2.564737319946289,0.5606782855722448,1.0,0,"('>>>', '1S0_0_', 1)"
125,3.423129261900757,-0.11555549180491909,101.49156188964844,2.5896217823028564,0.6007056108415224,1.0,0,"('>>>', '1S0_0_', 1)"
126,3.7280463188669364,-0.0650313311844819,101.8381118774414,2.6269419193267822,0.35080203871592586,1.0,0,"('>>>', '1S0_0_', 1)"
127,4.0053093667546396,-0.02960476394175693,102.21492004394531,2.652712821960449,0.10088888429755209,1.0,0,"('>>>', '1S0_0_', 1)"
128,4.230342077416079,-0.016279504269490985,102.61874389648438,2.6543283462524414,-0.14909577643185648,1.0,0,"('>>>', '1S0_0_', 1)"
129,4.499834113637413,-0.025852369965835287,103.04598999023438,2.6254334449768066,-0.18901274783418662,1.0,0,"('>>>', '1S0_0_', 1)"
130,4.778874361304213,-0.040214265092414436,103.49986267089844,2.5888636112213135,9.309931041154438e-05,1.0,0,"('>>>', '1S0_0_', 1)"
131,5.0655574221588,-0.04432711792187849,103.9828109741211,2.5635149478912354,5.1796546233879326e-05,1.0,0,"('>>>', '1S0_0_', 1)"
132,5.352541595445813,-0.04541009237915894,104.49459838867188,2.540661096572876,6.624742734083566e-05,1.0,0,"('>>>', '1S0_0_', 1)"
133,5.6395163788386755,-0.045678272700929945,105.03506469726562,2.5168135166168213,6.479699213608983e-05,1.0,0,"('>>>', '1S0_0_', 1)"
134,5.9246961603547295,-0.04416346667289339,105.6042251586914,2.493962287902832,0.04008403590037261,1.0,0,"('>>>', '1S0_0_', 1)"
135,6.20710857885341,-0.03725589259549977,106.20209503173828,2.4792227745056152,0.08016897687366507,1.0,0,"('>>>', '1S0_0_', 1)"
136,6.492785209409588,-0.028628315928079573,106.82840728759766,2.4692301750183105,6.198399230085639e-05,1.0,0,"('>>>', '1S0_0_', 1)"
137,6.779740775127724,-0.026199779330036144,107.48323822021484,2.4533910751342773,2.998131427978269e-05,1.0,0,"('>>>', '1S0_0_', 1)"
138,7.066721661999021,-0.025574868580248378,108.16671752929688,2.435617446899414,3.457158987037548e-05,1.0,0,"('>>>', '1S0_0_', 1)"
139,7.353707081066413,-0.025412682069863024,108.87889099121094,2.4171528816223145,9.194461307994045e-05,1.0,0,"('>>>', '1S0_0_', 1)"
140,7.638210949591519,-0.023335949051819682,109.61974334716797,2.4017744064331055,0.040119350823324094,1.0,0,"('>>>', '1S0_0_', 1)"
141,7.918973085268963,-0.014445917858971313,110.38908386230469,2.398627281188965,0.08021326150184066,1.0,0,"('>>>', '1S0_0_', 1)"
142,8.195293324633536,0.003078214745968033,111.18617248535156,2.4157798290252686,0.12023658251243388,1.0,0,"('>>>', '1S0_0_', 1)"
143,8.466130542563205,0.030131936679538285,112.00961303710938,2.462005615234375,0.16030040695347428,1.0,0,"('>>>', '1S0_0_', 1)"
144,8.729956729516823,0.06737051872795252,112.85697174072266,2.546963930130005,0.20038284790301103,1.0,0,"('>>>', '1S0_0_', 1)"
145,8.982827443414775,0.1151468297356466,113.72427368164062,2.6811184883117676,0.24039451387823138,1.0,0,"('>>>', '1S0_0_', 1)"
146,9.214803844189136,0.17325487419230434,114.60555267333984,2.87490177154541,0.28043415695869117,1.0,0,"('>>>', '1S0_0_', 1)"
147,9.415532112407217,0.24087493111439695,115.49243927001953,3.1375930309295654,0.320487555042192,1.0,0,"('>>>', '1S0_0_', 1)"
148,9.58292915990155,0.3151917729136029,116.37521362304688,3.4734268188476562,0.36050766240868604,1.0,0,"('>>>', '1S0_0_', 1)"
149,9.87643948544244,0.38292980787198694,117.25576782226562,3.8665428161621094,0.11057152901416666,1.0,0,"('>>>', '1S0_0_', 1)"
150,10.152460308429188,0.4173443739004812,118.15910339355469,4.2782158851623535,2.6350350693915714e-05,1.0,0,"('>>>', '1S0_0_', 1)"
151,10.439414102213508,0.4265887386763634,119.08985900878906,4.69786262512207,8.526506534040845e-06,1.0,0,"('>>>', '1S0_0_', 1)"
152,10.726351309325707,0.4287953007975496,120.04570007324219,5.131678104400635,8.119456522216655e-05,1.0,0,"('>>>', '1S0_0_', 1)"
153,10.843652817697862,0.42352117657475574,121.02706909179688,5.568246364593506,-0.24991601264904928,1.0,0,"('>>>', '1S0_0_', 0)"
154,11.125245187201275,0.40604884245301864,122.03302764892578,5.98903751373291,4.7145338794867754e-05,1.0,0,"('>>>', '1S0_0_', 0)"
155,11.412228172416885,0.40102665326934783,123.06267547607422,6.4253082275390625,8.132096484195724e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
156,11.52569726659232,0.39387979416801056,124.11894989013672,6.860990047454834,-0.2499024156783339,1.0,0,"('1S0_0_', '2C0_0_', 0)"
157,11.807660118194867,0.375916772615426,125.19994354248047,7.278082847595215,2.5143590655341043e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
158,12.094654801018834,0.3707980438422398,126.30558013916016,7.708605766296387,1.5162175279021184e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
159,12.204972406267938,0.36371470113290094,127.43805694580078,8.136966705322266,-0.2499011254460358,1.0,0,"('1S0_0_', '2C0_0_', 0)"
160,12.4875051234278,0.3459962909264407,128.5946807861328,8.545514106750488,8.691033557128554e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
161,12.774496354245082,0.3409856864935108,129.776611328125,8.965888977050781,1.689337330052937e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
162,12.88198182125597,0.33394322330690507,130.98538208007812,9.383005142211914,-0.24990393866063834,1.0,0,"('1S0_0_', '2C0_0_', 0)"
163,13.164964234064982,0.3163455874558796,132.21766662597656,9.779155731201172,5.1193362290376263e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
164,13.451953069555989,0.3113962357280222,133.47589111328125,10.185553550720215,9.072548666335473e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
165,13.734172246850173,0.31391678454172744,134.75978088378906,10.605325698852539,0.04009523590751085,1.0,0,"('1S0_0_', '2C0_0_', 0)"
166,13.949323603615596,0.3292974719433168,136.0609893798828,11.056674003601074,0.08018001856891234,0.8,0,"('1S0_0_', '2C0_0_', 1)"
167,14.088676789651174,0.3585598865269439,137.3663787841797,11.55447006225586,0.1202394462508516,0.6000000000000001,0,"('1S0_0_', '2C0_0_', 1)"
168,14.152475565457587,0.4007692587499907,138.66061401367188,12.112927436828613,0.16032979655944704,0.4000000000000001,0,"('2C0_0_', '2C0_1_', 1)"
169,13.439283348410068,0.45131312676249635,139.9137725830078,12.73038101196289,0.20038638936148814,0,0.5,"('2C0_0_', '2C0_1_', 1)"
170,12.509819943234206,0.5088657689738172,141.07029724121094,13.375469207763672,0.24041118242344128,0,1.0,"('2C0_0_', '2C0_1_', 1)"
171,11.62855798687635,0.5812586766225225,142.1134796142578,14.03410530090332,0.28045362407355645,0,1.0,"('2C0_0_', '2C0_1_', 1)"
